uid,data_type,pI,length,molecular_weight,label,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,hydro_total,hydro_mean,charge_Sillero,charge_EMBOSS,charge_DTASelect,charge_Solomon,charge_Rodwell
672a0ebda6017b0c75acb264888c9361,protein,4.6,720,79627.1,1,85,0,49,32,31,55,13,23,11,57,14,30,56,34,51,37,45,49,16,32,-257.9,-0.358,-16.336,-15.849,-15.808,-17.747,-17.858
177be4aca1243f08cd651ac6859c278d,protein,4.6850000000000005,261,28768.78,1,19,6,18,23,8,14,3,14,16,29,10,12,7,8,8,25,12,21,1,7,-24.7,-0.095,-16.439,-16.452,-16.474,-16.967,-17.043
5b370640a6e9620ef15bed0f4877bc37,peptide,11.49,21,2207.62,0,1,0,0,0,0,1,0,0,1,4,1,1,4,1,1,3,2,1,0,0,-2.9,-0.138,1.94,1.976,1.908,1.997,1.909
b33cac33a850d593c629c58bfeb6c740,peptide,3.6,19,2267.6,1,0,0,3,0,2,1,0,1,1,0,2,0,2,1,0,0,2,2,0,2,-3.2,-0.168,-2.059,-2.023,-2.086,-2.002,-2.091
3a715b3d0635089e27f33e920bee8f54,protein,4.96,557,61158.07,1,48,2,42,60,17,48,8,30,43,45,6,24,10,14,30,25,25,67,7,6,-167.3,-0.3,-27.265,-27.066,-27.024,-28.236,-28.334
ee4e03eb5b5dccc3edc1570afb8724af,peptide,4.53,18,1834.12,1,0,1,0,2,1,4,0,1,1,2,0,0,1,1,0,1,1,2,0,0,6.7,0.372,-1.063,-1.052,-1.117,-1.047,-1.132
750d8962c76742704c1abc14932266a6,peptide,10.19,11,1227.51,0,2,1,0,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,-3.0,-0.273,2.929,2.944,2.876,2.948,2.864
3301fe8f303bd747b4fb338c0ef98168,protein,4.86,407,45136.8,1,28,3,34,33,16,27,8,33,34,37,8,25,14,14,5,28,20,23,1,16,-139.4,-0.343,-26.374,-26.144,-26.143,-27.349,-27.438
5f2d3b28e01c5294a96898f78ef2e628,peptide,4.07,22,2541.02,1,2,0,1,1,1,0,1,1,0,3,2,0,3,0,0,2,1,2,2,0,15.4,0.7,-1.854,-1.782,-1.846,-1.909,-1.998
51c2e20c2dbeb7a6181b73a80e8ed059,peptide,12.42,10,1453.63,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,0,0,0,3,0,-26.2,-2.62,3.141,3.216,3.148,3.088,3.0
4a7d7b8524ae22a64a53eb0e2e59bcae,peptide,4.75,17,1788.94,1,5,0,0,3,0,1,1,0,0,0,0,0,3,0,1,0,1,1,1,0,-11.8,-0.694,-1.849,-1.78,-1.843,-1.906,-1.995
148dc1da7e08fda1a7a5e21b1d418d02,peptide,4.07,14,1658.75,1,0,0,2,2,0,1,0,1,0,1,0,2,0,1,2,0,1,1,0,0,-22.1,-1.579,-2.051,-2.02,-2.081,-1.997,-2.086
15dd2dfdeeb6a42531325110b3d780bb,peptide,4.07,18,2330.62,1,0,0,2,2,0,0,0,0,2,4,0,1,0,2,0,1,0,1,3,0,-16.4,-0.911,-2.052,-2.02,-2.083,-1.998,-2.086
4061965b37e3e8ae780eb6ef93321d95,protein,4.95,301,33506.43,1,25,4,30,19,18,18,2,10,33,19,9,21,8,9,4,26,14,19,5,8,-175.6,-0.583,-11.629,-11.63,-11.651,-11.967,-12.048
95ea6ca9ceb6a1af62e8904f4b95d8cd,peptide,4.67,20,2045.34,1,4,1,1,2,0,2,0,3,1,2,0,1,0,0,1,1,1,0,0,0,6.1,0.305,-1.062,-1.052,-1.115,-1.046,-1.132
f58e77b1959d1c1207936fd7ed733040,peptide,11.29,9,1222.47,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,1,-14.7,-1.633,2.943,2.976,2.91,2.998,2.91
f13fd51da64ac0fc8e90367ca22d1a65,peptide,4.53,13,1348.48,1,6,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,2.5,0.192,-1.054,-1.022,-1.087,-0.999,-1.088
99f653124744d034f075f36356d3c61f,protein,4.05,261,28851.73,1,12,10,19,15,8,25,6,14,12,27,6,14,18,11,5,15,11,17,8,8,-53.7,-0.206,-15.9,-15.863,-15.891,-16.9,-16.964
8ad2217539ee47499ffeb990f014097f,protein,3.8,229,24590.7,1,17,12,18,9,1,28,8,14,6,14,9,10,11,6,7,17,7,18,5,12,-26.1,-0.114,-12.54,-12.455,-12.487,-13.827,-13.886
7e9d57cee57b419261265e8979cd6588,peptide,10.4,12,1434.74,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,1,2,1,0,0,1,4.9,0.408,1.939,1.975,1.907,1.996,1.908
e5268aebec750555b7e7caa27b027964,peptide,3.59,13,1441.63,1,1,0,2,2,1,2,0,1,1,0,2,0,0,0,0,0,0,1,0,0,-1.6,-0.123,-3.051,-3.02,-3.082,-2.997,-3.086
2254526415371710481034f210180712,peptide,10.04,15,1911.2,0,2,0,1,0,0,1,0,0,1,1,0,0,0,1,2,0,0,2,2,2,-8.9,-0.593,1.939,1.975,1.909,1.996,1.908
244e5ea83584c0b6da8bd5c9f2d5e31d,protein,3.5,518,55985.56,1,47,5,38,11,31,37,19,25,7,41,5,32,43,21,16,38,37,44,7,14,-35.0,-0.068,-22.239,-21.581,-21.578,-24.475,-24.562
81e25e9b8f7363f65f8b4f3343b6b4e6,protein,4.6,1006,109160.63,1,71,10,58,50,37,98,19,47,46,91,8,50,54,28,32,100,79,59,17,52,-302.3,-0.3,-26.199,-25.706,-25.66,-28.663,-28.741
4863a7313f4ffbaab0552584246448f9,protein,4.7,931,104390.44,1,65,3,54,40,32,68,22,45,28,86,18,46,54,30,43,84,63,67,33,50,-228.7,-0.246,-18.554,-17.782,-17.74,-21.072,-21.173
2ec7626d9cf72e3df90766a749fa6c26,protein,4.8,576,64090.57,1,41,12,26,21,21,41,6,44,10,50,8,43,31,29,35,43,42,36,13,24,-87.9,-0.153,-0.91,-0.924,-0.934,-1.99,-2.054
f20eb9693bc92da72a91bb2179c54360,peptide,4.63,26,3150.57,1,2,0,5,1,1,0,1,2,3,2,2,0,1,3,1,0,1,0,0,1,-27.7,-1.065,-1.852,-1.78,-1.84,-1.907,-1.997
7a3cdab19d03673f96714cfc4a233faf,protein,4.9,507,53588.16,1,55,15,26,19,22,57,18,8,8,68,10,8,50,18,23,29,29,25,3,16,5.9,0.012,-10.528,-10.129,-10.137,-13.039,-13.093
51ee136a3f05aa43883b17bd957b85d1,protein,4.1,838,87132.53,1,78,4,52,9,29,112,9,36,27,41,7,32,34,27,24,110,88,57,27,35,-178.6,-0.213,-8.258,-7.964,-7.96,-9.352,-9.442
8eabfd3bf9236e4373fc9a28b9e5378e,protein,4.97,651,71357.74,1,56,7,45,57,21,55,5,46,53,44,17,31,26,25,28,34,40,42,3,16,-284.0,-0.436,-19.937,-19.951,-19.918,-20.762,-20.842
47544f0e6bb7c84ae796a622a9c6f302,peptide,10.59,16,1907.29,0,2,0,0,1,2,0,0,2,2,2,0,0,0,2,1,0,2,0,0,0,1.6,0.1,1.943,1.977,1.91,1.999,1.911
8d7b807b698a2cce1f39089b0c413c7e,peptide,13.01,35,4125.18,0,1,0,0,0,1,0,0,1,4,5,4,1,4,1,5,3,2,3,0,0,-7.0,-0.2,8.939,8.975,8.905,8.996,8.909
ba3d3700b2f0ff1f2c75c7fd09e10dfe,peptide,4.53,10,1117.33,1,1,0,0,2,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1.0,0.1,-1.053,-1.022,-1.087,-0.999,-1.087
81984cfa66f80cf77a842c4f659362ba,peptide,4.03,17,1916.17,1,0,0,2,1,1,1,0,2,1,0,1,0,1,0,0,1,3,2,0,1,1.5,0.088,-2.055,-2.022,-2.085,-2.0,-2.089
3871e02de98194f6fb3f80f8b7dca55d,peptide,10.89,11,1398.59,0,1,0,1,0,0,0,0,0,0,2,0,1,0,2,2,0,0,1,1,0,-10.3,-0.936,0.942,0.977,0.912,0.998,0.91
16c9134f63ab4ea2b4f85660c9f292b1,peptide,4.87,11,1413.63,1,0,1,1,3,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,-14.9,-1.355,-1.059,-1.051,-1.113,-1.044,-1.13
13ed57414776e24cb7f7c29b9027e741,protein,4.9,320,34265.62,1,35,0,22,21,10,41,11,23,14,26,9,17,6,8,14,12,14,25,2,10,-35.6,-0.111,-12.778,-12.348,-12.364,-13.956,-14.052
7b3d2961f1d327b1f9ad2c0ec1ac6b0b,peptide,4.75,22,2492.84,1,2,2,0,3,2,2,1,0,0,0,2,1,1,0,1,0,2,2,0,1,-0.4,-0.018,-1.87,-1.842,-1.905,-2.002,-2.085
c386273f95f50c9cd1ec65b69a2eaed6,protein,4.29,166,17960.52,1,10,0,12,13,8,16,2,17,12,11,4,12,8,4,2,6,8,18,0,3,2.7,0.016,-10.612,-10.522,-10.563,-10.791,-10.883
e24a446f2b4eb76601f0ae5c31e074f1,peptide,4.54,33,3382.86,1,5,0,0,3,1,4,1,2,1,5,0,2,3,3,0,1,0,2,0,0,5.9,0.179,-1.849,-1.78,-1.844,-1.906,-1.995
db474ec7176dc7914ed0af90b25e57cb,peptide,3.51,21,2336.66,1,2,0,2,3,1,1,0,0,1,5,0,0,1,0,0,0,2,2,0,1,7.7,0.367,-4.049,-4.02,-4.08,-3.996,-4.085
1ca12d05660428ce1079bc04281ad7d4,peptide,3.1,23,2408.77,1,0,0,1,0,0,1,0,0,0,5,0,0,1,1,0,3,6,4,0,1,18.9,0.822,-1.059,-1.024,-1.089,-1.002,-1.091
546636d32f4d8eb34aabbe21025cb891,protein,4.9,455,48737.41,1,34,18,41,12,16,45,5,15,13,26,10,30,25,20,10,39,44,24,8,20,-188.3,-0.414,-29.18,-29.345,-29.342,-30.371,-30.417
bc4dcb5aa34eeecf603e2fdf71c87316,protein,4.9,350,38256.53,1,28,10,19,10,23,25,3,20,4,35,5,23,22,15,28,31,20,22,1,6,-13.7,-0.039,3.487,3.412,3.386,2.822,2.756
2022a2325df73c8c8b369d7d191b2d91,peptide,10.09,8,1014.19,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,-9.8,-1.225,0.947,0.978,0.913,1.001,0.913
18937994e2d9793aa34d0459897fa3bd,peptide,4.83,26,3107.44,1,0,1,1,3,5,3,1,0,2,2,0,1,0,1,0,1,2,1,0,2,-9.7,-0.373,-1.861,-1.812,-1.875,-1.955,-2.041
0b1f4762c05db7f0dca7bb823e114562,peptide,11.05,9,945.13,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,2,0,0,10.2,1.133,0.941,0.976,0.909,0.998,0.909
3a3aaae4576a6c268d837771cf3348af,protein,4.3,149,15992.86,1,10,0,6,5,2,11,3,10,2,14,2,13,10,9,4,13,16,12,2,5,-25.2,-0.169,-4.441,-4.297,-4.349,-4.72,-4.811
74933a0b6cc3f78be12a4e0172d857ac,peptide,11.05,15,1942.08,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,1,0,0,1,0,0,-37.9,-2.527,1.342,1.456,1.39,1.179,1.091
18170ff55357b652c709a651a2504ddc,protein,4.99,548,62735.82,1,32,10,36,31,33,45,11,25,38,41,10,27,23,19,27,33,30,31,10,36,-265.9,-0.485,0.132,0.345,0.339,-1.43,-1.498
f9b795d49f9981659efaf6c238599a46,peptide,4.31,18,2196.52,1,1,0,2,1,1,1,0,1,1,1,2,0,0,3,1,0,1,1,1,0,-10.5,-0.583,-1.054,-1.021,-1.084,-0.999,-1.088
ca096c1812875dbac4282055e6b2a389,protein,4.75,200,23054.14,1,11,1,21,11,12,14,2,12,14,17,6,9,11,7,10,10,4,13,2,13,-86.2,-0.431,-7.631,-7.556,-7.588,-7.845,-7.936
8675e9f4c97a6b94eb04b83b56c4a67e,protein,4.663333333333333,285,32949.98,1,38,1,19,61,1,3,2,12,38,34,8,7,0,15,14,11,8,7,0,6,-296.5,-1.04,-27.478,-27.493,-27.485,-27.749,-27.843
0210f94d23c409bd5263dda69ed8d61b,peptide,12.11,15,1804.0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,2,3,0,3,1,0,1,-24.9,-1.66,2.94,2.975,2.908,2.997,2.908
3598dcaeb9586aa8c2d427e17b428a7d,peptide,10.05,17,2041.47,0,0,0,1,1,0,0,0,0,3,2,3,0,2,0,1,3,0,0,0,1,-16.8,-0.988,1.943,1.977,1.91,1.999,1.91
0d80c2c85a20f078781cb8e33befc8ec,protein,4.65,177,20805.25,1,12,4,14,15,8,7,10,5,10,20,5,9,3,13,11,12,3,7,2,7,-137.8,-0.779,-6.041,-5.721,-5.755,-7.252,-7.334
e73fb94079a8bf47eb88b4351d1874a7,peptide,10.4,20,2342.83,0,3,1,0,0,0,0,0,3,1,4,0,2,0,3,2,0,0,0,0,1,4.9,0.245,2.929,2.944,2.877,2.949,2.864
016319f8be98b9da7a1dd3adb807f1c9,peptide,4.56,21,2542.8,1,1,1,2,2,0,0,0,0,3,1,0,2,2,1,0,0,2,1,1,2,-32.0,-1.524,-1.064,-1.053,-1.116,-1.047,-1.133
e9387b01803dbe598c87673f570bd855,peptide,4.27,21,2369.61,1,1,0,0,2,0,0,0,0,1,3,0,1,1,6,0,2,2,2,0,0,-18.4,-0.876,-1.053,-1.022,-1.087,-0.999,-1.087
006241891c4e76651218d6aa4cc4690b,protein,10.2,113,12715.43,0,10,3,6,5,8,9,1,4,12,6,3,8,7,5,4,6,6,3,1,6,-77.5,-0.686,5.123,5.129,5.067,4.951,4.872
33986a211c2d77c9a313423d5d9a55c4,peptide,11.64,5,657.81,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,-11.6,-2.32,2.94,2.976,2.907,2.997,2.909
de0558b2054af85ad5a4f017b8698f16,protein,4.6,638,71076.71,1,35,15,44,49,24,33,10,32,31,58,9,29,46,33,19,60,35,45,11,20,-237.9,-0.373,-41.034,-41.006,-40.966,-42.703,-42.763
1b4747272d97f69ebcf0f60c04ab1732,protein,4.861428571428571,298,34258.72,1,19,4,18,21,9,17,7,9,20,26,5,11,20,20,13,19,9,25,8,18,-171.6,-0.576,-4.635,-4.442,-4.472,-5.522,-5.604
52158da3a23e907f915ccefc45f79c71,protein,4.85,282,31907.88,1,16,1,14,29,10,19,6,27,16,18,2,19,10,5,13,17,16,25,1,18,-89.3,-0.317,-12.784,-12.583,-12.606,-13.455,-13.548
37a0440044fdbc5f131b61e30f264f31,peptide,4.65,15,1987.08,1,0,0,1,3,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,1,-49.5,-3.3,-1.05,-1.02,-1.082,-0.997,-1.086
6002f59241a3c9bf15912e65edea0a01,peptide,11.23,32,3507.01,0,3,0,0,2,0,1,0,4,1,2,0,1,2,4,3,3,4,2,0,0,-11.3,-0.353,1.947,1.978,1.913,2.001,1.913
0195c54fd1aceff59ab3ec38b214ced6,peptide,2.82,19,2329.69,1,0,0,3,0,4,0,0,2,0,2,1,0,2,0,0,2,0,1,0,2,16.0,0.842,-3.058,-3.023,-3.085,-3.002,-3.091
223c74e30d611aa2d901e2bc287423a2,peptide,4.68,27,2960.26,1,1,0,2,3,1,4,2,1,0,5,0,2,1,0,2,1,1,1,0,0,-12.3,-0.456,-2.646,-2.538,-2.598,-2.813,-2.903
bc6cd6408c1a94c5b72e8a6d41002124,protein,4.728333333333333,169,18955.46,1,14,2,15,15,12,13,1,10,16,9,7,8,6,8,6,5,10,9,1,2,-88.8,-0.525,-7.824,-7.819,-7.855,-7.972,-8.058
f5efad07ab5d820e45a77e2a4556b60d,peptide,11.74,32,3568.16,0,4,0,2,2,0,2,0,2,1,3,1,0,0,1,6,2,2,4,0,0,-5.9,-0.184,2.949,2.98,2.918,3.003,2.914
ddc103ea94094ffb7c4ef30a3e41177f,peptide,11.05,10,1346.59,0,0,0,0,0,1,0,1,1,0,0,2,0,0,4,1,0,0,0,0,0,-10.6,-1.06,1.142,1.216,1.149,1.088,1.0
c33897d8b8b36ebe7c996da5155ff846,peptide,10.09,10,1353.5,0,0,0,0,1,0,0,1,0,1,1,0,0,0,3,1,0,1,0,1,0,-23.4,-2.34,1.144,1.217,1.151,1.09,1.002
4cbbf744a840bc1f12b1b6ea869b6759,protein,3.5,326,34370.39,1,30,3,16,16,10,32,4,15,4,27,6,24,21,11,13,28,23,31,4,8,-19.1,-0.059,-14.229,-14.129,-14.154,-14.745,-14.832
fd576bd7ae396797ac3a843005a48381,peptide,4.37,12,1503.72,1,0,0,1,1,0,0,0,1,0,4,0,2,0,1,1,0,0,0,0,1,-3.6,-0.3,-1.056,-1.023,-1.087,-1.0,-1.089
e8102401f1bc6cfcb1614664e4985db8,peptide,10.05,17,2072.45,0,1,0,1,1,0,0,1,1,3,2,1,0,1,1,1,0,2,0,0,1,-18.4,-1.082,2.144,2.217,2.15,2.089,2.001
1b1820b920acec685e9ff1608f812298,protein,4.45,332,35004.92,1,43,1,21,15,13,29,1,20,18,24,9,16,21,7,10,22,19,30,2,11,23.5,0.071,-7.818,-7.791,-7.82,-7.927,-8.018
fcf2f3377e9053435d02a5500e943873,peptide,4.68,16,1833.17,1,1,1,1,2,1,0,0,3,2,2,0,1,1,0,0,1,0,0,0,0,4.0,0.25,-1.063,-1.052,-1.116,-1.046,-1.132
ed7c8636a3912b1d0aa4f457614fd930,peptide,10.17,24,2669.24,0,0,1,1,1,0,2,1,2,4,4,1,1,0,0,1,3,0,2,0,0,-0.0,-0.0,3.134,3.187,3.12,3.042,2.958
242f24bbad4a5002dc1bc8057db0967f,peptide,4.17,20,2522.67,1,1,0,1,3,1,1,0,0,0,2,0,0,0,8,2,0,0,0,0,1,-40.5,-2.025,-2.05,-2.02,-2.082,-1.997,-2.086
5406ee961d2b6d22de3b6b26f94dfc21,protein,4.6,510,55503.76,1,42,1,34,33,13,42,14,30,30,30,10,27,15,24,13,42,34,49,2,25,-177.5,-0.348,-21.158,-20.647,-20.645,-22.714,-22.811
9e62fd13390f072513a22338c3f5fd10,peptide,4.68,15,1679.97,1,0,0,1,2,0,1,0,2,2,3,0,1,2,0,0,0,1,0,0,0,-5.7,-0.38,-1.053,-1.021,-1.085,-0.998,-1.087
71bfa875dd71b6729db30aecfa6294e5,peptide,11.49,9,1141.38,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,1,1,0,-2.7,-0.3,1.94,1.976,1.908,1.997,1.909
5ebdef31f87ccdb5748eb5b69c35fdf2,peptide,2.95,16,1735.91,1,3,0,1,2,1,1,0,1,0,2,0,2,1,0,0,0,0,1,0,1,3.7,0.231,-3.053,-3.022,-3.084,-2.998,-3.088
be83d9afac9fc1e3acce8b320fadab09,peptide,12.41,9,1065.28,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,1,2,0,0,-3.5,-0.389,1.941,1.976,1.909,1.998,1.909
8a0b5541cb8297c2afffde14298c4892,peptide,10.47,33,3674.51,0,3,0,1,1,3,4,0,2,5,5,2,1,0,0,1,0,2,2,0,1,15.2,0.461,3.942,3.976,3.908,3.998,3.91
15692f962b7556bc1c3ca183501a1f60,protein,3.5,637,68593.79,1,57,8,28,37,25,59,3,31,8,59,20,43,41,15,20,54,60,30,16,23,-59.7,-0.094,-36.418,-36.499,-36.484,-37.037,-37.117
9d55a63a824cb211f2be94900b35a497,protein,4.66,289,30717.94,1,27,0,16,18,19,31,0,7,10,19,4,12,16,10,19,44,4,24,2,7,-93.5,-0.324,-4.998,-4.996,-5.023,-4.963,-5.058
1233383a4ea9436f743e1eb73615aaa8,peptide,11.64,7,870.11,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,1,0,0,-4.0,-0.571,2.94,2.976,2.907,2.997,2.909
462cf3798a5ca3cca3f5ac3e1725e70b,protein,4.8,700,78940.54,1,46,14,33,64,33,51,15,33,38,63,12,27,52,22,39,52,25,42,17,22,-292.0,-0.417,-16.989,-16.766,-16.733,-19.183,-19.244
f39d0f44049987f1d56e9644b2c926fd,protein,4.960000000000001,662,72250.84,1,59,0,32,60,29,60,17,24,38,61,13,36,30,15,21,52,36,48,8,23,-220.0,-0.332,-29.463,-28.863,-28.837,-31.342,-31.445
c5c1d943a228180d5d0d510613c3e720,peptide,4.07,22,2618.85,1,1,0,1,1,0,1,1,0,0,0,3,3,4,5,0,0,0,0,0,2,-40.1,-1.823,-1.856,-1.783,-1.848,-1.91,-1.999
e660dc26bac4939e8a6a54903445cc74,peptide,4.27,11,1159.36,1,1,1,0,2,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,3.2,0.291,-1.063,-1.052,-1.117,-1.047,-1.132
859bf261ad30509c801b1af4d9152a4e,peptide,4.31,28,3028.41,1,4,0,2,1,1,0,0,1,1,5,0,2,1,3,1,4,0,2,0,0,0.7,0.025,-1.054,-1.021,-1.084,-0.999,-1.088
2f880d6b20e609b8679532d8b168fe83,peptide,12.43,11,1206.46,0,1,0,0,0,0,1,0,0,2,1,0,0,3,0,2,1,0,0,0,0,-17.2,-1.564,3.94,3.976,3.907,3.997,3.909
30d2b6f9e9dcf684ce5bfe20cfade4fa,peptide,10.39,31,3767.48,0,2,0,0,1,0,0,0,2,3,4,0,0,2,4,3,1,2,3,0,4,-12.9,-0.416,4.939,4.973,4.905,4.995,4.907
9177e4c2512d852db617346ccc7f2c61,peptide,10.39,18,2003.24,0,1,0,2,0,1,0,0,0,5,0,0,0,0,0,0,1,8,0,0,0,-28.3,-1.572,2.941,2.977,2.909,2.998,2.91
d5a6115e2207ff8ace8cd16f013f802d,protein,4.85,857,94949.93,1,48,19,54,53,51,82,24,49,55,69,16,33,42,29,25,63,37,66,19,23,-151.6,-0.177,-22.253,-21.758,-21.717,-25.615,-25.66
0d39280bf6256e4ebfb5b40449c56b29,protein,4.92,638,69114.96,1,70,1,55,50,15,47,8,44,50,48,15,26,23,37,25,25,44,47,1,7,-260.7,-0.409,-28.278,-28.04,-27.994,-29.201,-29.301
ebc207ada33cbd23233bd661d1150421,peptide,10.1,12,1221.38,0,0,0,0,0,1,2,0,1,1,1,0,1,1,0,0,2,2,0,0,0,-1.7,-0.142,0.94,0.976,0.908,0.997,0.909
664924f8ddebf210c753dc0a393634c1,peptide,10.7,20,2333.73,0,3,0,0,1,2,0,0,2,2,0,1,1,0,0,2,2,2,1,0,1,-2.0,-0.1,2.942,2.976,2.909,2.998,2.91
768ff8e66dce22a94d2abd44a90e359a,peptide,10.9,15,1864.22,0,1,1,0,0,0,0,2,0,0,3,1,1,0,1,2,1,0,1,1,0,-2.3,-0.153,2.332,2.426,2.359,2.132,2.046
902a69ef9a51ea1d5d05927cdfda09ae,protein,4.55,381,42179.67,1,19,7,22,14,20,33,6,22,15,33,9,15,16,26,9,36,24,29,4,22,-33.3,-0.087,-10.886,-10.782,-10.811,-11.768,-11.842
1056165bc597f446f008a525ffac3332,peptide,10.85,13,1773.95,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,-43.7,-3.362,4.947,5.378,5.309,3.906,3.818
ea38f27afc363ea419a5fe735f39f0af,peptide,11.49,10,1175.4,0,2,0,0,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0,-1.4,-0.14,1.94,1.976,1.908,1.997,1.909
e4208f3f7ad835e5771213dad3f38f4f,protein,4.7,1077,116581.71,1,121,6,69,28,41,88,17,46,26,74,16,71,56,43,50,84,85,83,21,52,-242.5,-0.225,-17.611,-17.079,-17.026,-19.683,-19.777
384015ca302da8aa572c1d55c5fd2253,protein,4.83,342,36989.01,1,29,2,20,26,11,35,7,29,20,24,10,17,10,9,8,19,19,31,1,15,-8.4,-0.025,-16.595,-16.37,-16.39,-17.412,-17.502
b8efb48136d913128f0a8be73b0a5961,peptide,3.77,26,3227.43,1,0,0,4,9,0,2,1,0,3,3,2,0,0,0,0,0,0,0,1,1,-48.2,-1.854,-9.828,-9.771,-9.822,-9.892,-9.983
19cb11c4a79a7d66a4f666a0b0692d97,protein,4.2,608,67206.75,1,27,8,36,16,22,53,13,49,19,34,16,42,39,20,23,59,40,47,15,30,-121.8,-0.2,-7.48,-7.124,-7.132,-9.172,-9.248
f57568afbaa6970de8bf4355ab24994e,protein,3.13,147,14455.22,1,25,4,8,2,6,18,0,4,2,8,1,5,6,4,5,13,14,19,2,1,65.0,0.442,-3.086,-3.139,-3.191,-3.184,-3.263
839bfb7794e146d70129eb87257020c3,peptide,10.09,12,1425.69,0,1,0,0,1,1,0,1,1,1,2,0,0,1,0,1,0,2,0,0,0,-1.4,-0.117,1.144,1.217,1.151,1.09,1.002
89bda0b3d06253572282302027a43dd1,peptide,10.1,11,1165.37,0,2,0,0,0,1,1,0,1,1,1,1,2,0,0,0,1,0,0,0,0,4.5,0.409,0.94,0.976,0.908,0.997,0.909
ba671ec270eaa5d20240c8ff85091463,protein,4.83,102,11439.22,1,12,1,4,7,4,3,0,2,6,14,5,3,5,10,5,6,7,5,0,3,-24.7,-0.242,-0.048,-0.046,-0.103,-0.037,-0.124
22c1399f89e167d835e6987e0f41f02b,peptide,4.53,12,1396.6,1,0,0,0,2,1,1,0,1,1,2,0,0,1,0,0,1,1,0,0,1,-0.8,-0.067,-1.054,-1.023,-1.088,-1.0,-1.088
fe0c4ca4217501ea50f8a657cf6f6b74,peptide,4.51,26,2817.07,1,1,1,2,3,0,3,0,1,2,1,2,1,0,2,1,3,3,0,0,0,-29.6,-1.138,-2.058,-2.05,-2.111,-2.043,-2.129
338f7795c5a5efb3749f32dd1350c351,peptide,10.82,18,2224.55,0,0,0,0,2,0,0,0,0,3,3,0,0,1,5,2,2,0,0,0,0,-37.0,-2.056,2.946,2.978,2.911,3.001,2.913
a86609b5577bd5f28f4fafa5b6e8ccf5,protein,3.5,520,55544.97,1,55,5,38,7,32,40,18,29,5,35,5,34,40,16,15,38,42,44,7,15,16.2,0.031,-21.452,-20.827,-20.827,-23.574,-23.661
7717b94d0f2ea6c1d2d2ec2430ab2f80,peptide,10.18,10,1160.38,0,1,0,0,1,0,1,0,1,2,0,0,0,1,0,1,0,0,1,0,1,-8.6,-0.86,1.942,1.976,1.909,1.998,1.91
dcf8dde898aa0b7e76e1b854a86856f9,protein,4.97,446,49419.17,1,38,7,28,43,15,37,16,12,11,41,10,7,29,22,28,30,25,30,12,5,-207.4,-0.465,-28.762,-28.324,-28.3,-30.782,-30.865
7fe6b42e79ac5a4acc1057d59b42aae8,protein,3.5,926,103970.85,1,43,14,58,59,32,76,29,47,57,64,29,54,54,19,49,68,47,77,22,28,-425.7,-0.46,-5.183,-4.397,-4.345,-8.911,-8.975
681c4868448d76cccb6d72bb009d18af,peptide,10.89,26,2342.47,0,2,0,1,0,2,9,0,1,0,0,0,0,1,0,2,5,2,1,0,0,-5.2,-0.2,0.942,0.977,0.912,0.998,0.91
8765da094f78c057f5bf17b6874c58c0,peptide,4.31,21,2683.19,1,0,0,2,1,2,1,0,1,1,4,3,0,0,3,1,0,0,0,0,2,-1.4,-0.067,-1.056,-1.023,-1.086,-1.001,-1.09
fb9c40f3c8408efc874cbda1b8e8eb6b,peptide,4.78,25,2690.99,1,4,0,2,2,3,3,0,0,2,0,2,2,1,0,1,1,1,1,0,0,-14.0,-0.56,-1.052,-1.02,-1.083,-0.998,-1.086
fdf61a80efe48a68424f654d044a35f9,peptide,4.06,23,2809.28,1,2,0,3,3,0,0,1,1,0,3,4,0,0,1,2,0,0,2,0,1,-2.5,-0.109,-3.847,-3.778,-3.837,-3.904,-3.994
